record_id,vehicle_id,service_date,odometer_km,service_type,cost,notes
M0001,V001,2026-05-18,52747,oil_change,184.37,
M0002,V002,2024-07-03,114046,engine_repair,1881.21,
M0003,V002,2024-10-18,125184,inspection,181.34,
M0004,V002,2025-03-04,130627,engine_repair,2042.26,
M0005,V002,2025-07-10,137442,oil_change,176.7,
M0006,V002,2026-05-30,130552,engine_repair,1891.94,
M0007,V003,2024-10-04,224171,brake_service,843.55,
M0008,V003,2025-04-02,236526,engine_repair,2509.71,
M0009,V003,2026-04-30,239031,tire_replacement,621.57,
M0010,V004,2025-12-12,29137,engine_repair,1212.75,
M0011,V004,2026-06-11,33139,oil_change,140.5,
M0012,V005,2024-12-07,16718,inspection,155.77,
M0013,V005,2025-02-07,28400,tire_replacement,550.96,
M0014,V005,2025-06-14,42676,transmission_service,1580.01,
M0015,V005,2026-05-14,38214,engine_repair,2851.67,
M0016,V006,2026-05-22,38511,engine_repair,1000.31,
M0017,V008,2026-03-24,256214,tire_replacement,1231.7,
M0018,V009,2025-07-13,53058,engine_repair,2169.08,
M0019,V010,2023-09-10,1000,engine_repair,2544.54,
M0020,V010,2024-01-20,1000,oil_change,233.54,
M0021,V010,2024-03-20,1000,engine_repair,1207.32,
M0022,V010,2024-10-05,8684,transmission_service,820.01,
M0023,V010,2026-04-08,15791,transmission_service,2022.99,
M0024,V011,2025-02-19,25754,transmission_service,1068.9,
M0025,V011,2025-04-18,40090,tire_replacement,1078.9,
M0026,V011,2025-09-09,50787,tire_replacement,1317.94,
M0027,V011,2026-04-26,57959,engine_repair,2211.42,
M0028,V012,2024-03-29,253601,engine_repair,1817.03,
M0029,V012,2024-06-03,262673,engine_repair,2713.85,
M0030,V012,2024-10-26,268785,tire_replacement,1367.7,
M0031,V012,2025-01-15,278516,tire_replacement,481.5,
M0032,V012,2026-01-31,280979,inspection,114.1,
M0033,V013,2024-12-26,58741,tire_replacement,1244.43,
M0034,V013,2025-03-20,64005,brake_service,899.99,
M0035,V013,2025-09-05,71150,tire_replacement,1347.67,
M0036,V013,2025-12-05,78659,oil_change,170.76,
M0037,V013,2026-06-24,84022,transmission_service,1639.78,
M0038,V014,2024-08-08,328697,tire_replacement,1076.36,
M0039,V014,2024-10-03,339428,brake_service,732.71,
M0040,V014,2025-01-02,353663,inspection,98.51,
M0041,V014,2025-03-21,367448,tire_replacement,1276.39,
M0042,V014,2026-02-12,377125,transmission_service,2002.26,
M0043,V015,2024-06-28,167798,engine_repair,1930.38,
M0044,V015,2024-11-17,180037,inspection,172.33,
M0045,V015,2025-05-27,191255,tire_replacement,1078.31,
M0046,V015,2025-11-08,198433,brake_service,485.68,
M0047,V015,2026-07-09,205740,transmission_service,1832.46,
M0048,V016,2024-12-09,65271,oil_change,252.5,
M0049,V016,2025-03-01,76438,inspection,188.64,
M0050,V016,2025-05-26,84907,tire_replacement,483.88,
M0051,V016,2025-11-19,90949,engine_repair,3322.59,
M0052,V016,2026-02-10,97440,tire_replacement,452.18,
M0053,V017,2024-08-27,190324,brake_service,316.91,
M0054,V017,2024-10-31,200466,tire_replacement,635.78,
M0055,V017,2026-05-01,211296,oil_change,178.09,
M0056,V018,2024-08-26,101544,engine_repair,814.18,
M0057,V018,2025-02-07,112893,transmission_service,1912.89,
