trip_id,vehicle_id,driver_id,trip_date,origin,destination,distance_km,duration_hr,fuel_liters,fuel_cost,purpose
T00337,V105,D023,2025-10-28,Westside Yard,Harbor Terminal,535.5,13.71,90.9,143.42,delivery
T01263,V040,D067,2025-10-28,Riverside Hub,Airport Cargo,555.4,13.03,51.3,75.5,delivery
T01416,V055,D059,2025-10-28,Westside Yard,Downtown Drop,273.4,5.21,36.8,61.04,delivery
T01685,V059,D002,2025-10-28,Riverside Hub,Airport Cargo,503.7,8.74,59.4,102.57,transfer
T01743,V028,D064,2025-10-28,Westside Yard,Downtown Drop,563.9,13.06,92.0,153.1,transfer
T02226,V059,D002,2025-10-28,Springfield Depot,Airport Cargo,486.7,7.85,59.3,95.49,delivery
T02457,V039,D045,2025-10-28,Downtown Drop,Harbor Terminal,519.6,8.9,58.9,97.59,delivery
T02619,V109,D051,2025-10-28,Riverside Hub,Northgate DC,282.5,4.3,39.8,58.38,delivery
T02724,V109,D051,2025-10-28,Downtown Drop,Airport Cargo,184.8,3.11,23.0,39.27,pickup
T03280,V019,D041,2025-10-28,Harbor Terminal,Riverside Hub,154.8,2.37,21.1,33.01,delivery
T03306,V087,D039,2025-10-28,Westside Yard,Northgate DC,75.8,1.22,11.3,18.98,delivery
T03991,V024,D079,2025-10-28,Riverside Hub,Springfield Depot,324.4,6.46,38.6,67.35,pickup
T04444,V094,D078,2025-10-28,Eastfield Park,Springfield Depot,443.9,8.83,50.2,81.3,service_run
T04449,V114,D070,2025-10-28,Harbor Terminal,Springfield Depot,342.9,6.82,52.8,84.65,transfer
T04613,V037,D035,2025-10-28,Downtown Drop,Eastfield Park,424.8,10.89,39.7,58.38,delivery
T00305,V045,D076,2025-10-29,Eastfield Park,Springfield Depot,247.6,4.41,26.6,46.03,delivery
T00520,V029,D060,2025-10-29,Springfield Depot,Westside Yard,383.3,8.8,69.4,112.2,service_run
T00721,V014,D031,2025-10-29,Northgate DC,Eastfield Park,536.3,12.55,49.3,78.09,pickup
T01400,V050,D007,2025-10-29,Springfield Depot,Westside Yard,277.1,5.26,43.5,66.85,pickup
T01459,V094,D078,2025-10-29,Downtown Drop,Northgate DC,548.8,9.54,59.4,92.29,delivery
T01507,V077,D029,2025-10-29,Northgate DC,Riverside Hub,242.6,5.37,38.6,60.01,service_run
T01603,V053,D019,2025-10-29,Riverside Hub,Northgate DC,205.6,3.26,22.4,32.76,transfer
T01635,V008,D046,2025-10-29,Northgate DC,Springfield Depot,539.1,11.55,67.1,106.21,pickup
T01726,V027,D049,2025-10-29,Springfield Depot,Riverside Hub,182.8,3.54,29.5,47.26,service_run
T01843,V107,D015,2025-10-29,Riverside Hub,Harbor Terminal,351.0,6.1,44.6,77.31,delivery
T01895,V021,D037,2025-10-29,Northgate DC,Eastfield Park,209.7,4.58,36.4,58.56,delivery
T02041,V102,D038,2025-10-29,Downtown Drop,Northgate DC,323.2,4.77,31.8,53.58,delivery
T02062,V116,D012,2025-10-29,Springfield Depot,Westside Yard,300.4,6.64,30.7,45.55,pickup
T02559,V104,D068,2025-10-29,Airport Cargo,Springfield Depot,542.4,7.77,51.6,88.18,delivery
T02682,V060,D005,2025-10-29,Airport Cargo,Northgate DC,244.0,4.77,26.5,40.03,delivery
T02753,V019,D041,2025-10-29,Northgate DC,Westside Yard,21.7,0.34,2.5,4.1,service_run
T03139,V094,D078,2025-10-29,Downtown Drop,Riverside Hub,433.2,7.19,40.1,62.15,delivery
T03429,V052,D065,2025-10-29,Riverside Hub,Downtown Drop,607.0,12.31,107.2,181.33,delivery
T03461,V039,D045,2025-10-29,Eastfield Park,Harbor Terminal,417.7,9.62,40.2,66.19,delivery
T03517,V098,D018,2025-10-29,Harbor Terminal,Downtown Drop,370.5,6.58,63.1,106.92,delivery
