vehicle_id,plate,make,model,year,type,status,odometer_km,acquisition_date,last_service_date,last_service_odometer_km,assigned_driver_id
V001,TL-66-JM151,Isuzu,NPR,2018,cargo_van,in_shop,59523,2018-04-06,2026-05-18,52747,
V002,TL-37-GL268,Isuzu,NQR,2022,cargo_van,active,146185,2022-07-09,2026-05-30,130552,D074
V003,TL-99-JT258,Isuzu,NPR,2019,pickup,active,241777,2019-04-02,2026-04-30,239031,D058
V004,TL-50-AL698,Toyota,Dyna,2023,box_truck,active,35979,2023-01-17,2026-06-11,33139,D003
V005,TL-86-BP513,Ford,Transit,2017,box_truck,active,55924,2017-10-20,2026-05-14,38214,
V006,TL-63-KV635,Ford,F-150,2024,pickup,active,41491,2024-04-22,2026-05-22,38511,D006
V007,TL-43-GN787,Tata,Prima,2020,pickup,active,145140,2020-08-11,,,D004
V008,TL-89-KM175,Ford,E-350,2015,box_truck,active,260273,2015-09-09,2026-03-24,256214,D046
V009,TL-41-FQ261,Mercedes,Vito,2020,pickup,active,56066,2020-10-26,2025-07-13,53058,
V010,TL-95-JQ779,Tata,Ace,2023,box_truck,active,22050,2023-05-04,2026-04-08,15791,D040
V011,TL-44-EV315,Ford,E-350,2023,pickup,idle,60749,2023-04-22,2026-04-26,57959,
V012,TL-72-EL194,Tata,Prima,2019,heavy_truck,active,284979,2019-05-02,2026-01-31,280979,D057
V013,TL-91-EN859,Ford,F-150,2020,heavy_truck,active,88587,2020-09-01,2026-06-24,84022,D016
V014,TL-29-JL954,Ford,F-150,2016,box_truck,active,382293,2016-07-05,2026-02-12,377125,D031
V015,TL-15-FP798,Ford,Transit,2019,cargo_van,active,211182,2019-06-25,2026-07-09,205740,
V016,TL-40-CN522,Toyota,Hiace,2021,box_truck,in_shop,101030,2021-12-11,2026-02-10,97440,
V017,TL-41-EN906,Isuzu,NPR,2025,heavy_truck,in_shop,212690,2025-01-28,2026-05-01,211296,
V018,TL-68-FQ940,Isuzu,NPR,2018,box_truck,active,124633,2018-01-22,2026-05-15,116025,D028
V019,TL-45-BQ459,Mercedes,Vito,2021,pickup,active,192103,2021-01-04,2026-05-15,183418,D041
V020,TL-43-AM710,Volvo,FE,2017,pickup,active,324396,2017-12-26,2026-06-27,323699,
V021,TL-24-GV294,Volvo,FE,2021,cargo_van,active,288132,2021-12-14,2026-04-25,285470,D037
V022,TL-78-DR541,Ford,Transit,2023,pickup,active,231421,2023-10-11,2026-02-20,224026,
V023,TL-48-JQ782,Tata,407,2016,pickup,in_shop,397358,2016-07-23,2025-12-17,392358,
V024,TL-34-GS793,Volvo,FL,2023,pickup,active,53367,2023-07-18,2026-06-01,45150,D079
V025,TL-36-GV721,Ford,E-350,2019,pickup,active,170425,2019-08-15,2026-06-27,169652,
V026,TL-75-HN774,Isuzu,NPR,2025,pickup,active,76020,2025-09-22,2026-07-12,71225,D021
V027,TL-21-DQ330,Tata,Ace,2024,box_truck,active,107867,2024-01-02,2026-06-30,100847,D049
V028,TL-19-HS744,Mercedes,Sprinter,2022,heavy_truck,active,180241,2022-08-13,2026-03-09,172935,D064
V029,TL-98-AM897,Mercedes,Vito,2017,box_truck,active,363963,2017-03-26,2026-04-04,362113,D060
